target_organism
Staphylococcus aureus
Streptococcus pneumoniae
Streptococcus pyogenes
Escherichia coli
Proteus
Salmonella
Klebsiella
Pseudomonas
Serratia
Enterobacter
Alcaligenes
Neisseria perflava
Staphylococcus
Bacillus
Streptococcus
Sarcina
Klebsiella pneumoniae
Salmonella enterica subsp. enterica serovar Typhimurium
Enterobacter cloacae
Haemophilus influenzae
Shouchella clausii
Streptococcus sp. 'group A'
Streptococcus sp. 'group B'
Streptococcus viridans
Moraxella catarrhalis
Proteus mirabilis
Acinetobacter baumannii
Pseudomonas aeruginosa
Salmonella enterica
Pseudomonas fluorescens
Providencia stuartii
Prescottella equi
Listeria monocytogenes
Corynebacterium amycolatum
Corynebacterium jeikeium
Corynebacterium pseudodiphtheriticum
Corynebacterium striatum
Corynebacterium urealyticum
Stenotrophomonas maltophilia
Corynebacterium minutissimum
Corynebacterium xerosis
Citrobacter freundii
Pectobacterium atrosepticum
Streptococcus constellatus
Streptococcus oralis
Streptococcus intermedius
Streptococcus mitis
Streptococcus agalactiae
Burkholderia cenocepacia
Acinetobacter pittii
Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)
Neisseria meningitidis
Campylobacter jejuni
Campylobacter coli
Chryseobacterium indologenes
Yersinia enterocolitica
Staphylococcus epidermidis
Bacillus subtilis
Bacillus cereus
Micrococcus luteus
Rattus norvegicus
Bacillus spizizenii
Aeromonas hydrophila
Staphylococcus hominis
Enterococcus faecalis
Enterococcus faecium
Severe acute respiratory syndrome coronavirus 2
Staphylococcus lugdunensis
Aeromonas caviae
Staphylococcus saprophyticus
Serratia marcescens
Klebsiella aerogenes
Shigella sonnei
Klebsiella oxytoca
Salmonella enterica subsp. enterica serovar Paratyphi A
Shigella flexneri
Proteus vulgaris
Canis lupus familiaris
Bacillus thuringiensis
Escherichia coli K-12
Enterococcus
Burkholderia cepacia
Nocardia cyriacigeorgica
Nocardia farcinica
Nocardia otitidiscaviarum
Nocardia nova
Nocardia transvalensis
Nocardia carnea
Nocardia brasiliensis
Nocardia sp.
Mycobacterium tuberculosis
Human immunodeficiency virus 1
Mycoplasmoides pneumoniae
Peptoniphilus asaccharolyticus
Peptostreptococcus anaerobius
Finegoldia magna
Clostridium perfringens
Cutibacterium acnes
Streptococcus pasteurianus
Streptococcus equinus
Acinetobacter
Metamycoplasma hominis
Ureaplasma
Plasmodium falciparum
Corynebacterium sp.
Mycolicibacterium smegmatis
Leishmania donovani
Trypanosoma cruzi
Trypanosoma brucei rhodesiense
Klebsiella pneumoniae subsp. pneumoniae
Enterobacter sp.
Neisseria gonorrhoeae
[Haemophilus] ducreyi
Bacillus anthracis
Legionella pneumophila
Mycoplasma putrefaciens
Dialister pneumosintes
Dialister propionicifaciens
Dialister invisus
Dialister micraerophilus
Enterococcus avium
Chlamydia trachomatis
Chlamydia pneumoniae
Yersinia pestis
Brucella abortus
Brucella suis
Burkholderia pseudomallei
Mycobacteroides abscessus
Mycobacteroides chelonae
Mycolicibacterium peregrinum
Mycolicibacterium fortuitum
Mycolicibacterium mageritense
Vibrio sp.
Vibrio vulnificus
Vibrio fluvialis
Vibrio alginolyticus
Vibrio parahaemolyticus
Vibrio cholerae
Plesiomonas shigelloides
Aeromonas sobria
Yersinia pseudotuberculosis
Shigella dysenteriae
Shigella boydii
Salmonella enterica subsp. enterica serovar Typhi
Salmonella enterica subsp. enterica serovar Enteritidis
Enterobacteriaceae
Coxiella burnetii
Cavia porcellus
Oryctolagus cuniculus
Bos taurus
Salmonella enterica subsp. enterica serovar Abony
Streptococcus gordonii
dengue virus type 2
Aspergillus fumigatus
Aspergillus terreus
Aspergillus flavus
Nakaseomyces glabratus
Candida parapsilosis
Absidia
Cunninghamella
Mucor
Rhizomucor
Rhizopus
Syncephalastrum
Candida albicans
Candida dubliniensis
Pichia kudriavzevii
Candida tropicalis
Rhizopus arrhizus
Rhizopus microsporus var. rhizopodiformis
Trichophyton mentagrophytes
Clavispora lusitaniae
Candida orthopsilosis
Candida metapsilosis
Neosartorya fumigata (Aspergillus fumigatus)
Aspergillus niger
Cryptococcus neoformans
Rhodotorula mucilaginosa
Trichosporon
Zygosaccharomyces
Kodamaea ohmeri
