Unnamed: 0,activity_comment,activity_id,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,document_chembl_id,document_journal,document_year,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,toid,type,units,uo_units,value
36000,See Activity_Supp For Individual Animal Data,17307290,CHEMBL3885862,Open TG-GATES - Regimen: Daily Repeat,T,BAO_0000179,BAO_0000218,organism-based format,NNC(=O)c1ccncc1,CHEMBL3885861,,,CHEMBL64,ISONIAZID,CHEMBL64,0,http://qudt.org/vocab/unit#Gram,2834542,=,11,1,=,TERMBW,g,372.9,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116.0,4820.0,TERMINAL_BW,g,UO_0000021,372.9
36001,See Activity_Supp For Individual Animal Data,17307291,CHEMBL3885862,Open TG-GATES - Regimen: Daily Repeat,T,BAO_0000179,BAO_0000218,organism-based format,NNC(=O)c1ccncc1,CHEMBL3885861,,,CHEMBL64,ISONIAZID,CHEMBL64,0,http://qudt.org/vocab/unit#Gram,2834542,=,11,1,=,WEIGHT,g,15.1,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116.0,4820.0,LIVER,g,UO_0000021,15.1
36002,See Activity_Supp For Individual Animal Data,17307292,CHEMBL3885862,Open TG-GATES - Regimen: Daily Repeat,T,BAO_0000179,BAO_0000218,organism-based format,NNC(=O)c1ccncc1,CHEMBL3885861,,,CHEMBL64,ISONIAZID,CHEMBL64,0,http://qudt.org/vocab/unit#Gram,2834542,=,11,1,=,WEIGHT,g,2.7,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116.0,4820.0,KIDNEY_TOTAL,g,UO_0000021,2.7
36003,See Activity_Supp For Individual Animal Data,17307293,CHEMBL3885862,Open TG-GATES - Regimen: Daily Repeat,T,BAO_0000179,BAO_0000218,organism-based format,NNC(=O)c1ccncc1,CHEMBL3885861,,,CHEMBL64,ISONIAZID,CHEMBL64,0,http://qudt.org/vocab/unit#Gram,2834542,=,11,1,=,WEIGHT,g,1.3,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116.0,4820.0,KIDNEY_R,g,UO_0000021,1.3
36004,See Activity_Supp For Individual Animal Data,17307294,CHEMBL3885862,Open TG-GATES - Regimen: Daily Repeat,T,BAO_0000179,BAO_0000218,organism-based format,NNC(=O)c1ccncc1,CHEMBL3885861,,,CHEMBL64,ISONIAZID,CHEMBL64,0,http://qudt.org/vocab/unit#Gram,2834542,=,11,1,=,WEIGHT,g,1.4,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116.0,4820.0,KIDNEY_L,g,UO_0000021,1.4
36005,See Activity_Supp For Individual Animal Data,17307295,CHEMBL3885862,Open TG-GATES - Regimen: Daily Repeat,T,BAO_0000179,BAO_0000218,organism-based format,NNC(=O)c1ccncc1,CHEMBL3885861,,,CHEMBL64,ISONIAZID,CHEMBL64,0,http://qudt.org/vocab/unit#Gram,2834542,=,11,1,=,TERMBW,g,217.2,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116.0,4821.0,TERMINAL_BW,g,UO_0000021,217.2
36006,See Activity_Supp For Individual Animal Data,17307296,CHEMBL3885862,Open TG-GATES - Regimen: Daily Repeat,T,BAO_0000179,BAO_0000218,organism-based format,NNC(=O)c1ccncc1,CHEMBL3885861,,,CHEMBL64,ISONIAZID,CHEMBL64,0,http://qudt.org/vocab/unit#Gram,2834542,=,11,1,=,WEIGHT,g,11.5,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116.0,4821.0,LIVER,g,UO_0000021,11.5
36007,See Activity_Supp For Individual Animal Data,17307297,CHEMBL3885862,Open TG-GATES - Regimen: Daily Repeat,T,BAO_0000179,BAO_0000218,organism-based format,NNC(=O)c1ccncc1,CHEMBL3885861,,,CHEMBL64,ISONIAZID,CHEMBL64,0,http://qudt.org/vocab/unit#Gram,2834542,=,11,1,=,WEIGHT,g,2.1,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116.0,4821.0,KIDNEY_TOTAL,g,UO_0000021,2.1
36008,See Activity_Supp For Individual Animal Data,17307298,CHEMBL3885862,Open TG-GATES - Regimen: Daily Repeat,T,BAO_0000179,BAO_0000218,organism-based format,NNC(=O)c1ccncc1,CHEMBL3885861,,,CHEMBL64,ISONIAZID,CHEMBL64,0,http://qudt.org/vocab/unit#Gram,2834542,=,11,1,=,WEIGHT,g,1.1,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116.0,4821.0,KIDNEY_R,g,UO_0000021,1.1
36009,See Activity_Supp For Individual Animal Data,17307299,CHEMBL3885862,Open TG-GATES - Regimen: Daily Repeat,T,BAO_0000179,BAO_0000218,organism-based format,NNC(=O)c1ccncc1,CHEMBL3885861,,,CHEMBL64,ISONIAZID,CHEMBL64,0,http://qudt.org/vocab/unit#Gram,2834542,=,11,1,=,WEIGHT,g,1.1,CHEMBL376,Rattus norvegicus,Rattus norvegicus,10116.0,4821.0,KIDNEY_L,g,UO_0000021,1.1
