Unnamed: 0,activity_comment,activity_id,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,document_chembl_id,document_journal,document_year,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,toid,type,units,uo_units,value
146000,,5181772,CHEMBL1653347,Antimicrobial activity against rifampicin-resistant Escherichia coli A15 transconjugant expressing beta-lactamase KPC-2/TEM-1 by Etest,F,BAO_0002146,BAO_0000218,organism-based format,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,CHEMBL1649217,Antimicrob Agents Chemother,2009.0,CHEMBL702,PIPERACILLIN,CHEMBL702,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1322008,=,1,1,=,MIC,ug.mL-1,96.0,CHEMBL354,Escherichia coli,Escherichia coli,562.0,,MIC,ug ml-1,UO_0000274,96.0
146001,,5181773,CHEMBL1653348,Antimicrobial activity against rifampicin-resistant Escherichia coli A15 transconjugant expressing beta-lactamase SHV-12 by Etest,F,BAO_0002146,BAO_0000218,organism-based format,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,CHEMBL1649217,Antimicrob Agents Chemother,2009.0,CHEMBL702,PIPERACILLIN,CHEMBL702,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1322008,=,1,1,=,MIC,ug.mL-1,32.0,CHEMBL354,Escherichia coli,Escherichia coli,562.0,,MIC,ug ml-1,UO_0000274,32.0
146002,,5181774,CHEMBL1653349,Antimicrobial activity against rifampicin-resistant Escherichia coli A15 by Etest,F,BAO_0002146,BAO_0000218,organism-based format,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,CHEMBL1649217,Antimicrob Agents Chemother,2009.0,CHEMBL702,PIPERACILLIN,CHEMBL702,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1322008,=,1,1,=,MIC,ug.mL-1,1.5,CHEMBL354,Escherichia coli,Escherichia coli,562.0,,MIC,ug ml-1,UO_0000274,1.5
146003,,5181775,CHEMBL1653354,Antimicrobial activity against Klebsiella pneumoniae isolate 2641/08 obtained from urine of patient with ischemic cardiomyopathy and several comorbidities by Etest in presence of beta-lactamase inhibitor Tazobactam,F,BAO_0002146,BAO_0000218,organism-based format,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,CHEMBL1649217,Antimicrob Agents Chemother,2009.0,CHEMBL702,PIPERACILLIN,CHEMBL702,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1322008,>,1,1,>,MIC,ug.mL-1,256.0,CHEMBL350,Klebsiella pneumoniae,Klebsiella pneumoniae,573.0,,MIC,ug ml-1,UO_0000274,256.0
146004,,5181776,CHEMBL1653355,Antimicrobial activity against rifampicin-resistant Escherichia coli A15 transconjugant expressing beta-lactamase KPC-2/TEM-1 by Etest in presence of beta-lactamase inhibitor Tazobactam,F,BAO_0002146,BAO_0000218,organism-based format,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,CHEMBL1649217,Antimicrob Agents Chemother,2009.0,CHEMBL702,PIPERACILLIN,CHEMBL702,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1322008,=,1,1,=,MIC,ug.mL-1,48.0,CHEMBL354,Escherichia coli,Escherichia coli,562.0,,MIC,ug ml-1,UO_0000274,48.0
146005,,5181777,CHEMBL1653356,Antimicrobial activity against rifampicin-resistant Escherichia coli A15 transconjugant expressing beta-lactamase SHV-12 by Etest in presence of beta-lactamase inhibitor Tazobactam,F,BAO_0002146,BAO_0000218,organism-based format,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,CHEMBL1649217,Antimicrob Agents Chemother,2009.0,CHEMBL702,PIPERACILLIN,CHEMBL702,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1322008,=,1,1,=,MIC,ug.mL-1,1.0,CHEMBL354,Escherichia coli,Escherichia coli,562.0,,MIC,ug ml-1,UO_0000274,1.0
146006,,5181778,CHEMBL1653357,Antimicrobial activity against rifampicin-resistant Escherichia coli A15 by Etest in presence of beta-lactamase inhibitor Tazobactam,F,BAO_0002146,BAO_0000218,organism-based format,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,CHEMBL1649217,Antimicrob Agents Chemother,2009.0,CHEMBL702,PIPERACILLIN,CHEMBL702,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1322008,=,1,1,=,MIC,ug.mL-1,1.0,CHEMBL354,Escherichia coli,Escherichia coli,562.0,,MIC,ug ml-1,UO_0000274,1.0
146007,,5182244,CHEMBL1663998,Antimicrobial activity against Proteus mirabilis TUM4660 by broth dilution method in presence of beta-lactamase inhibitor Tazobactam,F,BAO_0002146,BAO_0000218,organism-based format,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,CHEMBL1649318,Antimicrob Agents Chemother,2010.0,CHEMBL702,PIPERACILLIN,CHEMBL702,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1323769,=,1,1,=,MIC,ug.mL-1,16.0,CHEMBL614444,Proteus mirabilis,Proteus mirabilis,584.0,,MIC,ug ml-1,UO_0000274,16.0
146008,,5182245,CHEMBL1663999,Antimicrobial activity against Escherichia coli TUM4670 by broth dilution method in presence of beta-lactamase inhibitor Tazobactam,F,BAO_0002146,BAO_0000218,organism-based format,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,CHEMBL1649318,Antimicrob Agents Chemother,2010.0,CHEMBL702,PIPERACILLIN,CHEMBL702,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1323769,>,1,1,>,MIC,ug.mL-1,128.0,CHEMBL354,Escherichia coli,Escherichia coli,562.0,,MIC,ug ml-1,UO_0000274,128.0
146009,,5182246,CHEMBL1664000,Antimicrobial activity against Escherichia coli TUM4672 by broth dilution method in presence of beta-lactamase inhibitor Tazobactam,F,BAO_0002146,BAO_0000218,organism-based format,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,CHEMBL1649318,Antimicrob Agents Chemother,2010.0,CHEMBL702,PIPERACILLIN,CHEMBL702,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1323769,>,1,1,>,MIC,ug.mL-1,128.0,CHEMBL354,Escherichia coli,Escherichia coli,562.0,,MIC,ug ml-1,UO_0000274,128.0
