Unnamed: 0,activity_comment,activity_id,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,document_chembl_id,document_journal,document_year,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,toid,type,units,uo_units,value
73000,,5315532,CHEMBL1690251,Antibacterial activity against vancomycin-intermediate Staphylococcus aureus isolate 454 (NRS404) by broth microdilution assay,F,BAO_0002146,BAO_0000218,organism-based format,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,CHEMBL1687804,Antimicrob Agents Chemother,2010.0,CHEMBL126,LINEZOLID,CHEMBL126,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1338172,=,1,1,=,MIC,ug.mL-1,2.0,CHEMBL352,Staphylococcus aureus,Staphylococcus aureus,1280.0,,MIC,ug ml-1,UO_0000274,2.0
73001,inconclusive,5639687,CHEMBL1737902,"PUBCHEM_BIOASSAY: qHTS Assay to Find Inhibitors of Chronic Active B-Cell Receptor Signaling. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID485345, AID485355]",F,BAO_0000186,BAO_0000019,assay format,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,CHEMBL1201862,,,CHEMBL126,LINEZOLID,CHEMBL126,0,http://www.openphacts.org/units/Nanomolar,1150766,,7,1,,Potency,nM,2238.7,CHEMBL612545,,Unchecked,,,Potency,uM,UO_0000065,2.2387
73002,,6155314,CHEMBL1764056,Antibacterial activity against methicillin-susceptible Staphylococcus aureus by agar dilution method,F,BAO_0002146,BAO_0000218,organism-based format,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,CHEMBL1759832,Eur J Med Chem,2011.0,CHEMBL126,LINEZOLID,CHEMBL126,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1413096,=,1,1,=,MIC,ug.mL-1,2.0,CHEMBL352,Staphylococcus aureus,Staphylococcus aureus,1280.0,,MIC,ug ml-1,UO_0000274,2.0
73003,,6155331,CHEMBL1764055,Antibacterial activity against methicillin-resistant Staphylococcus aureus by agar dilution method,F,BAO_0002146,BAO_0000218,organism-based format,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,CHEMBL1759832,Eur J Med Chem,2011.0,CHEMBL126,LINEZOLID,CHEMBL126,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1413096,=,1,1,=,MIC,ug.mL-1,2.0,CHEMBL352,Staphylococcus aureus,Staphylococcus aureus,1280.0,,MIC,ug ml-1,UO_0000274,2.0
73004,,6155348,CHEMBL1764057,Antibacterial activity against vancomycin-resistant Enterococcus by agar dilution method,F,BAO_0002146,BAO_0000218,organism-based format,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,CHEMBL1759832,Eur J Med Chem,2011.0,CHEMBL126,LINEZOLID,CHEMBL126,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1413096,=,1,1,=,MIC,ug.mL-1,1.0,CHEMBL612318,Enterococcus,Enterococcus,1350.0,,MIC,ug ml-1,UO_0000274,1.0
73005,,6155365,CHEMBL1764058,Antibacterial activity against Haemophilus influenzae by agar dilution method,F,BAO_0002146,BAO_0000218,organism-based format,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,CHEMBL1759832,Eur J Med Chem,2011.0,CHEMBL126,LINEZOLID,CHEMBL126,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1413096,=,1,1,=,MIC,ug.mL-1,8.0,CHEMBL355,Haemophilus influenzae,Haemophilus influenzae,727.0,,MIC,ug ml-1,UO_0000274,8.0
73006,,6155382,CHEMBL1764059,Antibacterial activity against methicillin-susceptible Staphylococcus aureus Smith infected po dosed ICR mouse assessed as protection against mouse mortality administered 1 hr after infection measured up to 7 days,F,BAO_0003036,BAO_0000218,organism-based format,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,CHEMBL1759832,Eur J Med Chem,2011.0,CHEMBL126,LINEZOLID,CHEMBL126,0,,1413096,=,1,1,=,ED50,mg.kg-1,9.4,CHEMBL352,Staphylococcus aureus,Staphylococcus aureus,1280.0,,ED50,mg kg-1,UO_0000308,9.4
73007,,6155453,CHEMBL1764247,Antibacterial activity against methicillin-resistant Staphylococcus aureus Smith infected iv dosed ICR mouse assessed as protection against mouse mortality administered 1 hr after infection measured up to 7 days,F,BAO_0003036,BAO_0000218,organism-based format,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,CHEMBL1759832,Eur J Med Chem,2011.0,CHEMBL126,LINEZOLID,CHEMBL126,0,,1413096,=,1,1,=,ED50,mg.kg-1,12.9,CHEMBL352,Staphylococcus aureus,Staphylococcus aureus,1280.0,,ED50,mg kg-1,UO_0000308,12.9
73008,,6155455,CHEMBL1764248,Antibacterial activity against methicillin-resistant Staphylococcus aureus Smith infected po dosed ICR mouse assessed as protection against mouse mortality administered 1 hr after infection measured up to 7 days,F,BAO_0003036,BAO_0000218,organism-based format,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,CHEMBL1759832,Eur J Med Chem,2011.0,CHEMBL126,LINEZOLID,CHEMBL126,0,,1413096,=,1,1,=,ED50,mg.kg-1,15.6,CHEMBL352,Staphylococcus aureus,Staphylococcus aureus,1280.0,,ED50,mg kg-1,UO_0000308,15.6
73009,,6155457,CHEMBL1764249,Antibacterial activity against methicillin-sensitive Staphylococcus aureus Smith infected iv dosed ICR mouse assessed as protection against mouse mortality administered 1 hr after infection measured up to 7 days,F,BAO_0003036,BAO_0000218,organism-based format,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,CHEMBL1759832,Eur J Med Chem,2011.0,CHEMBL126,LINEZOLID,CHEMBL126,0,,1413096,=,1,1,=,ED50,mg.kg-1,29.1,CHEMBL352,Staphylococcus aureus,Staphylococcus aureus,1280.0,,ED50,mg kg-1,UO_0000308,29.1
