Unnamed: 0,action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
119000,,,5149787,[],CHEMBL1662502,Antibacterial activity against mprF and ugtP gene-deficient Bacillus subtilis CU1065 mutant by liquid growth inhibition assay,F,,,BAO_0002146,BAO_0000218,organism-based format,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,,,CHEMBL1649137,Antimicrob Agents Chemother,2009.0,,CHEMBL387675,DAPTOMYCIN,CHEMBL387675,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1325698,=,1,1,=,,MIC,ug.mL-1,,0.6,CHEMBL359,Bacillus subtilis,Bacillus subtilis,1423.0,,,MIC,ug ml-1,UO_0000274,,0.6
119001,,,5149788,[],CHEMBL1662503,Antibacterial activity against mprF and pssA gene-deficient Bacillus subtilis CU1065 mutant by liquid growth inhibition assay,F,,,BAO_0002146,BAO_0000218,organism-based format,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,,,CHEMBL1649137,Antimicrob Agents Chemother,2009.0,,CHEMBL387675,DAPTOMYCIN,CHEMBL387675,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1325698,=,1,1,=,,MIC,ug.mL-1,,0.9,CHEMBL359,Bacillus subtilis,Bacillus subtilis,1423.0,,,MIC,ug ml-1,UO_0000274,,0.9
119002,,,5149789,[],CHEMBL1662504,Antibacterial activity against psd and mprF gene-deficient Bacillus subtilis CU1065 mutant by liquid growth inhibition assay,F,,,BAO_0002146,BAO_0000218,organism-based format,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,,,CHEMBL1649137,Antimicrob Agents Chemother,2009.0,,CHEMBL387675,DAPTOMYCIN,CHEMBL387675,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1325698,=,1,1,=,,MIC,ug.mL-1,,0.9,CHEMBL359,Bacillus subtilis,Bacillus subtilis,1423.0,,,MIC,ug ml-1,UO_0000274,,0.9
119003,,,5149790,[],CHEMBL1660544,Antibacterial activity against mprF and pspA gene-deficient Bacillus subtilis CU1065 mutant by liquid growth inhibition assay,F,,,BAO_0002146,BAO_0000218,organism-based format,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,,,CHEMBL1649137,Antimicrob Agents Chemother,2009.0,,CHEMBL387675,DAPTOMYCIN,CHEMBL387675,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1325698,=,1,1,=,,MIC,ug.mL-1,,0.5,CHEMBL359,Bacillus subtilis,Bacillus subtilis,1423.0,,,MIC,ug ml-1,UO_0000274,,0.5
119004,,,5149791,[],CHEMBL1660678,Antibacterial activity against Bacillus subtilis CU1065 mutant with mprF gene overexpression by liquid growth inhibition assay,F,,,BAO_0002146,BAO_0000218,organism-based format,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,,,CHEMBL1649137,Antimicrob Agents Chemother,2009.0,,CHEMBL387675,DAPTOMYCIN,CHEMBL387675,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1325698,=,1,1,=,,MIC,ug.mL-1,,1.3,CHEMBL359,Bacillus subtilis,Bacillus subtilis,1423.0,,,MIC,ug ml-1,UO_0000274,,1.3
119005,,,5149792,[],CHEMBL1660679,Antibacterial activity against Bacillus subtilis CU1066 with depletion in pgsA gene by liquid growth inhibition assay,F,,,BAO_0002146,BAO_0000218,organism-based format,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,,,CHEMBL1649137,Antimicrob Agents Chemother,2009.0,,CHEMBL387675,DAPTOMYCIN,CHEMBL387675,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1325698,=,1,1,=,,MIC,ug.mL-1,,8.0,CHEMBL359,Bacillus subtilis,Bacillus subtilis,1423.0,,,MIC,ug ml-1,UO_0000274,,8.0
119006,,,5149793,[],CHEMBL1660680,Antibacterial activity against Bacillus subtilis CU1065 harboring IPTG-induced pgsA by liquid growth inhibition assay,F,,,BAO_0002146,BAO_0000218,organism-based format,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,,,CHEMBL1649137,Antimicrob Agents Chemother,2009.0,,CHEMBL387675,DAPTOMYCIN,CHEMBL387675,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1325698,=,1,1,=,,MIC,ug.mL-1,,1.0,CHEMBL359,Bacillus subtilis,Bacillus subtilis,1423.0,,,MIC,ug ml-1,UO_0000274,,1.0
119007,,standard_value was converted from ug.mL-1 to nM using the parent compound MW | standard_value was converted from ug.mL-1 to nM using the parent compound MW | standard_value was converted from ug.mL-1 to nM using the parent compound MW | standard_value was converted from ug.mL-1 to nM using the parent compound MW | standard_value was converted from ug.mL-1 to nM using the parent compound MW | standard_value was converted from ug.mL-1 to nM using the parent compound MW,5151380,"[{'comments': 'extracted from assay description on may 2023', 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'DOSE', 'standard_units': 'mg/kg/day', 'standard_value': '12.0', 'text_value': None, 'type': 'DOSE', 'units': 'mg/kg/day', 'value': '12.0'}, {'comments': 'extracted from assay description on may 2023', 'relation': None, 'result_flag': 0, 'standard_relation': None, 'standard_text_value': 'INTRAVENOUS', 'standard_type': 'ROUTE', 'standard_units': None, 'standard_value': None, 'text_value': 'INTRAVENOUS', 'type': 'ROUTE', 'units': None, 'value': None}]",CHEMBL1657058,"Cmax in New Zealand rabbit at 12 mg/kg/day, iv for 4 days measured after 15 mins post last dose by HPLC",A,,,BAO_0002119,BAO_0000218,organism-based format,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,,,CHEMBL1649142,Antimicrob Agents Chemother,2009.0,,CHEMBL387675,DAPTOMYCIN,CHEMBL387675,,0,http://www.openphacts.org/units/Nanomolar,1325713,=,1,1,=,,Cmax,nM,,63738.28,CHEMBL374,Oryctolagus cuniculus,Oryctolagus cuniculus,9986.0,,,Cmax,ug ml-1,UO_0000065,,103.3
119008,,standard_value was converted from ug.mL-1 to nM using the parent compound MW | standard_value was converted from ug.mL-1 to nM using the parent compound MW | standard_value was converted from ug.mL-1 to nM using the parent compound MW | standard_value was converted from ug.mL-1 to nM using the parent compound MW | standard_value was converted from ug.mL-1 to nM using the parent compound MW | standard_value was converted from ug.mL-1 to nM using the parent compound MW,5151381,"[{'comments': 'extracted from assay description on may 2023', 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'DOSE', 'standard_units': 'mg/kg/day', 'standard_value': '18.0', 'text_value': None, 'type': 'DOSE', 'units': 'mg/kg/day', 'value': '18.0'}, {'comments': 'extracted from assay description on may 2023', 'relation': None, 'result_flag': 0, 'standard_relation': None, 'standard_text_value': 'INTRAVENOUS', 'standard_type': 'ROUTE', 'standard_units': None, 'standard_value': None, 'text_value': 'INTRAVENOUS', 'type': 'ROUTE', 'units': None, 'value': None}]",CHEMBL1657059,"Cmax in New Zealand rabbit at 18 mg/kg/day, iv for 4 days measured after 15 mins post last dose by HPLC",A,,,BAO_0002119,BAO_0000218,organism-based format,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,,,CHEMBL1649142,Antimicrob Agents Chemother,2009.0,,CHEMBL387675,DAPTOMYCIN,CHEMBL387675,,0,http://www.openphacts.org/units/Nanomolar,1325713,=,1,1,=,,Cmax,nM,,91751.04,CHEMBL374,Oryctolagus cuniculus,Oryctolagus cuniculus,9986.0,,,Cmax,ug ml-1,UO_0000065,,148.7
119009,,,5151382,[],CHEMBL1657060,"Half life in New Zealand rabbit at 12 mg/kg/day, iv for 4 days by HPLC",A,,,BAO_0002115,BAO_0000218,organism-based format,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,,,CHEMBL1649142,Antimicrob Agents Chemother,2009.0,,CHEMBL387675,DAPTOMYCIN,CHEMBL387675,,0,http://qudt.org/vocab/unit#Hour,1325713,=,1,1,=,,T1/2,hr,,5.0,CHEMBL374,Oryctolagus cuniculus,Oryctolagus cuniculus,9986.0,,,t1/2,hr,UO_0000032,,5.0
119010,,,5151383,[],CHEMBL1657061,"Half life in New Zealand rabbit at 18 mg/kg/day, iv for 4 days by HPLC",A,,,BAO_0002115,BAO_0000218,organism-based format,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,,,CHEMBL1649142,Antimicrob Agents Chemother,2009.0,,CHEMBL387675,DAPTOMYCIN,CHEMBL387675,,0,http://qudt.org/vocab/unit#Hour,1325713,=,1,1,=,,T1/2,hr,,5.0,CHEMBL374,Oryctolagus cuniculus,Oryctolagus cuniculus,9986.0,,,t1/2,hr,UO_0000032,,5.0
119011,,,5151384,[],CHEMBL1657062,"AUC in New Zealand rabbit at 12 mg/kg/day, iv for 4 days by HPLC",A,,,BAO_0002120,BAO_0000218,organism-based format,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,,,CHEMBL1649142,Antimicrob Agents Chemother,2009.0,,CHEMBL387675,DAPTOMYCIN,CHEMBL387675,,0,,1325713,=,1,1,=,,AUC,ng.hr.mL-1,,719000.0,CHEMBL374,Oryctolagus cuniculus,Oryctolagus cuniculus,9986.0,,,AUC,microg.hr/mL,,,719.0
119012,,,5151385,[],CHEMBL1657063,"AUC in New Zealand rabbit at 18 mg/kg/day, iv for 4 days by HPLC",A,,,BAO_0002120,BAO_0000218,organism-based format,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,,,CHEMBL1649142,Antimicrob Agents Chemother,2009.0,,CHEMBL387675,DAPTOMYCIN,CHEMBL387675,,0,,1325713,=,1,1,=,,AUC,ng.hr.mL-1,,965000.0,CHEMBL374,Oryctolagus cuniculus,Oryctolagus cuniculus,9986.0,,,AUC,microg.hr/mL,,,965.0
119013,,,5151386,[],CHEMBL1657064,"AUC in human at 6 mg/kg, iv by HPLC",A,,,BAO_0002120,BAO_0000218,organism-based format,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,,,CHEMBL1649142,Antimicrob Agents Chemother,2009.0,,CHEMBL387675,DAPTOMYCIN,CHEMBL387675,,0,,1325713,=,1,1,=,,AUC,ng.hr.mL-1,,632000.0,CHEMBL372,Homo sapiens,Homo sapiens,9606.0,,,AUC,microg.hr/mL,,,632.0
119014,,,5151387,[],CHEMBL1657065,"AUC in human at 10 mg/kg, iv by HPLC",A,,,BAO_0002120,BAO_0000218,organism-based format,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,,,CHEMBL1649142,Antimicrob Agents Chemother,2009.0,,CHEMBL387675,DAPTOMYCIN,CHEMBL387675,,0,,1325713,=,1,1,=,,AUC,ng.hr.mL-1,,1039000.0,CHEMBL372,Homo sapiens,Homo sapiens,9606.0,,,AUC,microg.hr/mL,,,1039.0
119015,,,5151388,[],CHEMBL1657067,Antimicrobial activity against rifampin-susceptible Staphylococcus aureus A by broth dilution method,F,,,BAO_0002146,BAO_0000218,organism-based format,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,,,CHEMBL1649142,Antimicrob Agents Chemother,2009.0,,CHEMBL387675,DAPTOMYCIN,CHEMBL387675,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1325713,=,1,1,=,,MIC,ug.mL-1,,0.5,CHEMBL352,Staphylococcus aureus,Staphylococcus aureus,1280.0,,,MIC,ug ml-1,UO_0000274,,0.5
119016,,,5151389,[],CHEMBL1657068,Antimicrobial activity against rifampin-resistant Staphylococcus aureus B,F,,,BAO_0002146,BAO_0000218,organism-based format,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,,,CHEMBL1649142,Antimicrob Agents Chemother,2009.0,,CHEMBL387675,DAPTOMYCIN,CHEMBL387675,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1325713,=,1,1,=,,MIC,ug.mL-1,,2.0,CHEMBL352,Staphylococcus aureus,Staphylococcus aureus,1280.0,,,MIC,ug ml-1,UO_0000274,,2.0
119017,,,5151390,[],CHEMBL1657069,"Antimicrobial activity against Staphylococcus aureus A0.5/B2.0 infected in New Zealand rabbit dual-infection aortic valve endocarditis model assessed as bacterial count in endocardial vegetation at 12 mg/kg/day, iv for 4 days (Rvb = 7.8+/-0.4 log10 CFU/g)",F,,,BAO_0000179,BAO_0000218,organism-based format,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,,,CHEMBL1649142,Antimicrob Agents Chemother,2009.0,,CHEMBL387675,DAPTOMYCIN,CHEMBL387675,,0,,1325713,=,1,0,=,,log10CFU/g,,,5.3,CHEMBL352,Staphylococcus aureus,Staphylococcus aureus,1280.0,,,log10CFU/g,,,,5.3
