Unnamed: 0.1,Unnamed: 0,action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
26000,26000,,,5307338,[],CHEMBL1694341,"Antibacterial activity against qnrS gene expressing Escherichia coli ATCC 25922 harboring ParC S80R mutant, ParC S80R mutant and pBK-QnrS1 by broth microdilution method",F,,,BAO_0002146,BAO_0000218,organism-based format,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,,,CHEMBL1687848,Antimicrob Agents Chemother,2011.0,,CHEMBL8,CIPROFLOXACIN,CHEMBL8,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1338560,=,1,1,=,,MIC,ug.mL-1,,2.0,CHEMBL354,Escherichia coli,Escherichia coli,562.0,,,MIC,ug ml-1,UO_0000274,,2.0
26001,26001,,,5307339,[],CHEMBL1694346,Antibacterial activity against Escherichia coli ATCC 25922 assessed as mutant prevention concentration,F,,,BAO_0000181,BAO_0000218,organism-based format,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,,,CHEMBL1687848,Antimicrob Agents Chemother,2011.0,,CHEMBL8,CIPROFLOXACIN,CHEMBL8,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1338560,=,1,0,=,,Activity,ug ml-1,,1.0,CHEMBL354,Escherichia coli,Escherichia coli,562.0,,,Activity,ug ml-1,UO_0000274,,1.0
26002,26002,,,5307340,[],CHEMBL1694347,Antibacterial activity against Escherichia coli ATCC 25922 expressing qnrA gene and pBK-QnrA1 assessed as mutant prevention concentration,F,,,BAO_0000181,BAO_0000218,organism-based format,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,,,CHEMBL1687848,Antimicrob Agents Chemother,2011.0,,CHEMBL8,CIPROFLOXACIN,CHEMBL8,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1338560,=,1,0,=,,Activity,ug ml-1,,8.0,CHEMBL354,Escherichia coli,Escherichia coli,562.0,,,Activity,ug ml-1,UO_0000274,,8.0
26003,26003,,,5307341,[],CHEMBL1694348,Antibacterial activity against Escherichia coli ATCC 25922 expressing qnrB gene and pBK-QnrB1 assessed as mutant prevention concentration,F,,,BAO_0000181,BAO_0000218,organism-based format,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,,,CHEMBL1687848,Antimicrob Agents Chemother,2011.0,,CHEMBL8,CIPROFLOXACIN,CHEMBL8,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1338560,=,1,0,=,,Activity,ug ml-1,,2.0,CHEMBL354,Escherichia coli,Escherichia coli,562.0,,,Activity,ug ml-1,UO_0000274,,2.0
26004,26004,,,5307342,[],CHEMBL1694527,Antibacterial activity against Escherichia coli ATCC 25922 expressing qnrS gene and pBK-QnrS1 assessed as mutant prevention concentration,F,,,BAO_0000181,BAO_0000218,organism-based format,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,,,CHEMBL1687848,Antimicrob Agents Chemother,2011.0,,CHEMBL8,CIPROFLOXACIN,CHEMBL8,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1338560,=,1,0,=,,Activity,ug ml-1,,4.0,CHEMBL354,Escherichia coli,Escherichia coli,562.0,,,Activity,ug ml-1,UO_0000274,,4.0
26005,26005,,,5307343,[],CHEMBL1694528,Antibacterial activity against Escherichia coli ATCC 25922 harboring GyrA S83L mutant assessed as mutant prevention concentration,F,,,BAO_0000181,BAO_0000218,organism-based format,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,,,CHEMBL1687848,Antimicrob Agents Chemother,2011.0,,CHEMBL8,CIPROFLOXACIN,CHEMBL8,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1338560,=,1,0,=,,Activity,ug ml-1,,4.0,CHEMBL354,Escherichia coli,Escherichia coli,562.0,,,Activity,ug ml-1,UO_0000274,,4.0
26006,26006,,,5307344,[],CHEMBL1694624,Antibacterial activity against qnrA gene expressing Escherichia coli ATCC 25922 harboring GyrA S83L mutant and pBK-QnrA1 assessed as mutant prevention concentration,F,,,BAO_0000181,BAO_0000218,organism-based format,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,,,CHEMBL1687848,Antimicrob Agents Chemother,2011.0,,CHEMBL8,CIPROFLOXACIN,CHEMBL8,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1338560,=,1,0,=,,Activity,ug ml-1,,16.0,CHEMBL354,Escherichia coli,Escherichia coli,562.0,,,Activity,ug ml-1,UO_0000274,,16.0
26007,26007,,,5307345,[],CHEMBL1694625,Antibacterial activity against qnrB gene expressing Escherichia coli ATCC 25922 harboring GyrA S83L mutant and pBK-QnrB1 assessed as mutant prevention concentration,F,,,BAO_0000181,BAO_0000218,organism-based format,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,,,CHEMBL1687848,Antimicrob Agents Chemother,2011.0,,CHEMBL8,CIPROFLOXACIN,CHEMBL8,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1338560,=,1,0,=,,Activity,ug ml-1,,8.0,CHEMBL354,Escherichia coli,Escherichia coli,562.0,,,Activity,ug ml-1,UO_0000274,,8.0
26008,26008,,,5307346,[],CHEMBL1694626,Antibacterial activity against qnrS gene expressing Escherichia coli ATCC 25922 harboring GyrA S83L mutant and pBK-QnrS1 assessed as mutant prevention concentration,F,,,BAO_0000181,BAO_0000218,organism-based format,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,,,CHEMBL1687848,Antimicrob Agents Chemother,2011.0,,CHEMBL8,CIPROFLOXACIN,CHEMBL8,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,1338560,=,1,0,=,,Activity,ug ml-1,,8.0,CHEMBL354,Escherichia coli,Escherichia coli,562.0,,,Activity,ug ml-1,UO_0000274,,8.0
26009,26009,,,5307347,[],CHEMBL1694627,Ratio of mutant prevention concentration to MIC for Escherichia coli ATCC 25922,F,,,BAO_0000193,BAO_0000218,organism-based format,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,,,CHEMBL1687848,Antimicrob Agents Chemother,2011.0,,CHEMBL8,CIPROFLOXACIN,CHEMBL8,,0,,1338560,=,1,0,=,,Ratio,,,500.0,CHEMBL354,Escherichia coli,Escherichia coli,562.0,,,Ratio,,,,500.0
26010,26010,,,5307348,[],CHEMBL1694628,Ratio of mutant prevention concentration to MIC for Escherichia coli ATCC 25922 expressing qnrA gene and pBK-QnrA1,F,,,BAO_0000193,BAO_0000218,organism-based format,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,,,CHEMBL1687848,Antimicrob Agents Chemother,2011.0,,CHEMBL8,CIPROFLOXACIN,CHEMBL8,,0,,1338560,=,1,0,=,,Ratio,,,64.0,CHEMBL354,Escherichia coli,Escherichia coli,562.0,,,Ratio,,,,64.0
26011,26011,,,5307349,[],CHEMBL1694629,Ratio of mutant prevention concentration to MIC for Escherichia coli ATCC 25922 expressing qnrB gene and pBK-QnrB1,F,,,BAO_0000193,BAO_0000218,organism-based format,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,,,CHEMBL1687848,Antimicrob Agents Chemother,2011.0,,CHEMBL8,CIPROFLOXACIN,CHEMBL8,,0,,1338560,=,1,0,=,,Ratio,,,16.0,CHEMBL354,Escherichia coli,Escherichia coli,562.0,,,Ratio,,,,16.0
26012,26012,,,5307350,[],CHEMBL1694630,Ratio of mutant prevention concentration to MIC for Escherichia coli ATCC 25922 expressing qnrS gene and pBK-QnrS1,F,,,BAO_0000193,BAO_0000218,organism-based format,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,,,CHEMBL1687848,Antimicrob Agents Chemother,2011.0,,CHEMBL8,CIPROFLOXACIN,CHEMBL8,,0,,1338560,=,1,0,=,,Ratio,,,32.0,CHEMBL354,Escherichia coli,Escherichia coli,562.0,,,Ratio,,,,32.0
26013,26013,,,5307351,[],CHEMBL1694631,Ratio of mutant prevention concentration to MIC for Escherichia coli ATCC 25922 harboring GyrA S83L mutant,F,,,BAO_0000193,BAO_0000218,organism-based format,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,,,CHEMBL1687848,Antimicrob Agents Chemother,2011.0,,CHEMBL8,CIPROFLOXACIN,CHEMBL8,,0,,1338560,=,1,0,=,,Ratio,,,32.0,CHEMBL354,Escherichia coli,Escherichia coli,562.0,,,Ratio,,,,32.0
26014,26014,,,5307352,[],CHEMBL1694632,Ratio of mutant prevention concentration to MIC for qnrA gene expressing Escherichia coli ATCC 25922 harboring GyrA S83L mutant and pBK-QnrA1,F,,,BAO_0000193,BAO_0000218,organism-based format,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,,,CHEMBL1687848,Antimicrob Agents Chemother,2011.0,,CHEMBL8,CIPROFLOXACIN,CHEMBL8,,0,,1338560,=,1,0,=,,Ratio,,,32.0,CHEMBL354,Escherichia coli,Escherichia coli,562.0,,,Ratio,,,,32.0
