Unnamed: 0.1,Unnamed: 0,action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
53000,53000,,,2659735,[],CHEMBL1036280,Antimicrobial activity against drug-resistant Streptococcus pneumoniae isolate 3274 after 48 passages with Telithromycin measured after 10 antibiotic-free subculture by multi-step resistance selection technique,F,,,BAO_0002146,BAO_0000218,organism-based format,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,,,CHEMBL1151428,Antimicrob Agents Chemother,2007.0,,CHEMBL1753,CLINDAMYCIN,CHEMBL1753,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,818243,=,1,1,=,,MIC,ug.mL-1,,0.016,CHEMBL347,Streptococcus pneumoniae,Streptococcus pneumoniae,1313.0,,,MIC,ug ml-1,UO_0000274,,0.016
53001,53001,,,2659736,[],CHEMBL1052245,Antimicrobial activity against drug-resistant Streptococcus pneumoniae isolate 37 after 14 passages with Telithromycin measured after 10 antibiotic-free subculture by multi-step resistance selection technique,F,,,BAO_0002146,BAO_0000218,organism-based format,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,,,CHEMBL1151428,Antimicrob Agents Chemother,2007.0,,CHEMBL1753,CLINDAMYCIN,CHEMBL1753,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,818243,>,1,1,>,,MIC,ug.mL-1,,64.0,CHEMBL347,Streptococcus pneumoniae,Streptococcus pneumoniae,1313.0,,,MIC,ug ml-1,UO_0000274,,64.0
53002,53002,,,2659737,[],CHEMBL1052249,Antimicrobial activity against drug-resistant Streptococcus pneumoniae isolate 3413 after 30 passages with Telithromycin measured after 10 antibiotic-free subculture by multi-step resistance selection technique,F,,,BAO_0002146,BAO_0000218,organism-based format,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,,,CHEMBL1151428,Antimicrob Agents Chemother,2007.0,,CHEMBL1753,CLINDAMYCIN,CHEMBL1753,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,818243,=,1,1,=,,MIC,ug.mL-1,,0.06,CHEMBL347,Streptococcus pneumoniae,Streptococcus pneumoniae,1313.0,,,MIC,ug ml-1,UO_0000274,,0.06
53003,53003,,,2660224,[],CHEMBL1051484,Antimicrobial activity against drug-resistant Streptococcus pneumoniae isolate 3009 after 50 passages by multi-step resistance selection technique,F,,,BAO_0002146,BAO_0000218,organism-based format,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,,,CHEMBL1151428,Antimicrob Agents Chemother,2007.0,,CHEMBL1753,CLINDAMYCIN,CHEMBL1753,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,818243,=,1,1,=,,MIC,ug.mL-1,,2.0,CHEMBL347,Streptococcus pneumoniae,Streptococcus pneumoniae,1313.0,,,MIC,ug ml-1,UO_0000274,,2.0
53004,53004,,,2660239,[],CHEMBL1051463,Antimicrobial activity against drug-resistant Streptococcus pneumoniae isolate 1077 after 49 passages by multi-step resistance selection technique,F,,,BAO_0002146,BAO_0000218,organism-based format,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,,,CHEMBL1151428,Antimicrob Agents Chemother,2007.0,,CHEMBL1753,CLINDAMYCIN,CHEMBL1753,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,818243,=,1,1,=,,MIC,ug.mL-1,,4.0,CHEMBL347,Streptococcus pneumoniae,Streptococcus pneumoniae,1313.0,,,MIC,ug ml-1,UO_0000274,,4.0
53005,53005,,,2660250,[],CHEMBL1051459,Antimicrobial activity against drug-resistant Streptococcus pneumoniae isolate 3665 after 50 passages by multi-step resistance selection technique,F,,,BAO_0002146,BAO_0000218,organism-based format,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,,,CHEMBL1151428,Antimicrob Agents Chemother,2007.0,,CHEMBL1753,CLINDAMYCIN,CHEMBL1753,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,818243,=,1,1,=,,MIC,ug.mL-1,,0.03,CHEMBL347,Streptococcus pneumoniae,Streptococcus pneumoniae,1313.0,,,MIC,ug ml-1,UO_0000274,,0.03
53006,53006,,,2660258,[],CHEMBL1062982,Antimicrobial activity against drug-resistant Streptococcus pneumoniae isolate 3676 after 50 passages by multi-step resistance selection technique,F,,,BAO_0002146,BAO_0000218,organism-based format,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,,,CHEMBL1151428,Antimicrob Agents Chemother,2007.0,,CHEMBL1753,CLINDAMYCIN,CHEMBL1753,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,818243,=,1,1,=,,MIC,ug.mL-1,,0.016,CHEMBL347,Streptococcus pneumoniae,Streptococcus pneumoniae,1313.0,,,MIC,ug ml-1,UO_0000274,,0.016
53007,53007,,,2660268,[],CHEMBL1023503,Antimicrobial activity against drug-resistant Streptococcus pneumoniae isolate 3243 after 50 passages by multi-step resistance selection technique,F,,,BAO_0002146,BAO_0000218,organism-based format,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,,,CHEMBL1151428,Antimicrob Agents Chemother,2007.0,,CHEMBL1753,CLINDAMYCIN,CHEMBL1753,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,818243,=,1,1,=,,MIC,ug.mL-1,,0.03,CHEMBL347,Streptococcus pneumoniae,Streptococcus pneumoniae,1313.0,,,MIC,ug ml-1,UO_0000274,,0.03
53008,53008,,,2660274,[],CHEMBL1023492,Antimicrobial activity against drug-resistant Streptococcus pneumoniae isolate 1635 after 14 passages by multi-step resistance selection technique,F,,,BAO_0002146,BAO_0000218,organism-based format,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,,,CHEMBL1151428,Antimicrob Agents Chemother,2007.0,,CHEMBL1753,CLINDAMYCIN,CHEMBL1753,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,818243,>,1,1,>,,MIC,ug.mL-1,,64.0,CHEMBL347,Streptococcus pneumoniae,Streptococcus pneumoniae,1313.0,,,MIC,ug ml-1,UO_0000274,,64.0
53009,53009,,,2660290,[],CHEMBL1036289,Antimicrobial activity against drug-resistant Streptococcus pneumoniae isolate 2527 after 50 passages by multi-step resistance selection technique,F,,,BAO_0002146,BAO_0000218,organism-based format,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,,,CHEMBL1151428,Antimicrob Agents Chemother,2007.0,,CHEMBL1753,CLINDAMYCIN,CHEMBL1753,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,818243,=,1,1,=,,MIC,ug.mL-1,,0.016,CHEMBL347,Streptococcus pneumoniae,Streptococcus pneumoniae,1313.0,,,MIC,ug ml-1,UO_0000274,,0.016
53010,53010,,,2660298,[],CHEMBL1036282,Antimicrobial activity against drug-resistant Streptococcus pneumoniae isolate 3274 after 50 passages by multi-step resistance selection technique,F,,,BAO_0002146,BAO_0000218,organism-based format,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,,,CHEMBL1151428,Antimicrob Agents Chemother,2007.0,,CHEMBL1753,CLINDAMYCIN,CHEMBL1753,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,818243,=,1,1,=,,MIC,ug.mL-1,,0.008,CHEMBL347,Streptococcus pneumoniae,Streptococcus pneumoniae,1313.0,,,MIC,ug ml-1,UO_0000274,,0.008
53011,53011,,,2660312,[],CHEMBL1052247,Antimicrobial activity against drug-resistant Streptococcus pneumoniae isolate 3413 after 50 passages by multi-step resistance selection technique,F,,,BAO_0002146,BAO_0000218,organism-based format,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,,,CHEMBL1151428,Antimicrob Agents Chemother,2007.0,,CHEMBL1753,CLINDAMYCIN,CHEMBL1753,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,818243,=,1,1,=,,MIC,ug.mL-1,,0.008,CHEMBL347,Streptococcus pneumoniae,Streptococcus pneumoniae,1313.0,,,MIC,ug ml-1,UO_0000274,,0.008
53012,53012,,,2661115,[],CHEMBL1032866,Antibacterial activity against azithromycin-tolerant 0.01 MOI Chlamydia trachomatis L2AZM#31 harboring mutation in bacterial ribosomal protein L4 infected in mouse L2 cells treated 2 hrs after infection measured on day 7 by plaque assay,F,,,BAO_0002146,BAO_0000218,organism-based format,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,,,CHEMBL1151434,Antimicrob Agents Chemother,2007.0,,CHEMBL1753,CLINDAMYCIN,CHEMBL1753,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,817557,=,1,1,=,,MIC,ug.mL-1,,0.5,CHEMBL614606,Chlamydia trachomatis,Chlamydia trachomatis,813.0,,,MIC,ug ml-1,UO_0000274,,0.5
53013,53013,,,2661116,[],CHEMBL1032865,Antibacterial activity against azithromycin-tolerant 0.01 MOI Chlamydia trachomatis L2AZM#23 harboring mutation in bacterial ribosomal protein L4 infected in mouse L2 cells treated 2 hrs after infection measured on day 7 by plaque assay,F,,,BAO_0002146,BAO_0000218,organism-based format,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,,,CHEMBL1151434,Antimicrob Agents Chemother,2007.0,,CHEMBL1753,CLINDAMYCIN,CHEMBL1753,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,817557,=,1,1,=,,MIC,ug.mL-1,,0.5,CHEMBL614606,Chlamydia trachomatis,Chlamydia trachomatis,813.0,,,MIC,ug ml-1,UO_0000274,,0.5
53014,53014,,,2661117,[],CHEMBL1032864,Antibacterial activity against 0.01 MOI wild type Chlamydia trachomatis L2/LGV/434/Bu infected in mouse L2 cells treated 2 hrs after infection measured on day 7 by plaque assay,F,,,BAO_0002146,BAO_0000218,organism-based format,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,,,CHEMBL1151434,Antimicrob Agents Chemother,2007.0,,CHEMBL1753,CLINDAMYCIN,CHEMBL1753,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,817557,=,1,1,=,,MIC,ug.mL-1,,0.125,CHEMBL614606,Chlamydia trachomatis,Chlamydia trachomatis,813.0,,,MIC,ug ml-1,UO_0000274,,0.125
53015,53015,,,2661147,[],CHEMBL1032080,Antibacterial activity against 0.01 MOI wild type Chlamydia psittaci 6BC BCRB infected in mouse L2 cells treated 2 hrs after infection measured on day 7 by plaque assay,F,,,BAO_0002146,BAO_0000218,organism-based format,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,,,CHEMBL1151434,Antimicrob Agents Chemother,2007.0,,CHEMBL1753,CLINDAMYCIN,CHEMBL1753,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,817557,=,1,1,=,,MIC,ug.mL-1,,0.4,CHEMBL614758,Chlamydia psittaci 6BC,Chlamydia psittaci 6BC,331636.0,,,MIC,ug ml-1,UO_0000274,,0.4
