Unnamed: 0.1,Unnamed: 0,action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
83000,83000,,,16437520,[],CHEMBL3755172,Antibacterial activity against Streptococcus pneumoniae ATCC 6303 by microbroth dilution method,F,,,BAO_0002146,BAO_0000218,organism-based format,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,,,CHEMBL3751664,ACS Med Chem Lett,2015.0,,CHEMBL126,LINEZOLID,CHEMBL126,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,2744614,=,1,1,=,,MIC,ug.mL-1,,0.5,CHEMBL347,Streptococcus pneumoniae,Streptococcus pneumoniae,1313.0,,,MIC,ug ml-1,UO_0000274,,0.5
83001,83001,,,16437521,[],CHEMBL3755978,Antibacterial activity against linezolid-resistant Streptococcus pneumoniae 6303 by microbroth dilution method,F,,,BAO_0002146,BAO_0000218,organism-based format,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,,,CHEMBL3751664,ACS Med Chem Lett,2015.0,,CHEMBL126,LINEZOLID,CHEMBL126,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,2744614,=,1,1,=,,MIC,ug.mL-1,,32.0,CHEMBL347,Streptococcus pneumoniae,Streptococcus pneumoniae,1313.0,,,MIC,ug ml-1,UO_0000274,,32.0
83002,83002,,,16437522,[],CHEMBL3755979,Antibacterial activity against pencillin-resistant erm+ve Streptococcus pneumoniae ATCC 700904 by microbroth dilution method,F,,,BAO_0002146,BAO_0000218,organism-based format,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,,,CHEMBL3751664,ACS Med Chem Lett,2015.0,,CHEMBL126,LINEZOLID,CHEMBL126,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,2744614,=,1,1,=,,MIC,ug.mL-1,,1.0,CHEMBL347,Streptococcus pneumoniae,Streptococcus pneumoniae,1313.0,,,MIC,ug ml-1,UO_0000274,,1.0
83003,83003,,,16437523,[],CHEMBL3755980,Antibacterial activity against clinical isolate Neisseria meningitidis E-63 by microbroth dilution method,F,,,BAO_0002146,BAO_0000218,organism-based format,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,,,CHEMBL3751664,ACS Med Chem Lett,2015.0,,CHEMBL126,LINEZOLID,CHEMBL126,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,2744614,=,1,1,=,,MIC,ug.mL-1,,8.0,CHEMBL614431,Neisseria meningitidis,Neisseria meningitidis,487.0,,,MIC,ug ml-1,UO_0000274,,8.0
83004,83004,,,16437524,[],CHEMBL3756177,Antibacterial activity against clinical isolate Neisseria meningitidis M-1 by microbroth dilution method,F,,,BAO_0002146,BAO_0000218,organism-based format,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,,,CHEMBL3751664,ACS Med Chem Lett,2015.0,,CHEMBL126,LINEZOLID,CHEMBL126,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,2744614,=,1,1,=,,MIC,ug.mL-1,,8.0,CHEMBL614431,Neisseria meningitidis,Neisseria meningitidis,487.0,,,MIC,ug ml-1,UO_0000274,,8.0
83005,83005,,,16437525,[],CHEMBL3756178,Antibacterial activity against clinical isolate Neisseria meningitidis 306 by microbroth dilution method,F,,,BAO_0002146,BAO_0000218,organism-based format,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,,,CHEMBL3751664,ACS Med Chem Lett,2015.0,,CHEMBL126,LINEZOLID,CHEMBL126,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,2744614,=,1,1,=,,MIC,ug.mL-1,,8.0,CHEMBL614431,Neisseria meningitidis,Neisseria meningitidis,487.0,,,MIC,ug ml-1,UO_0000274,,8.0
83006,83006,,,16437526,[],CHEMBL3756179,Antibacterial activity against clinical isolate Neisseria meningitidis E-95 by microbroth dilution method,F,,,BAO_0002146,BAO_0000218,organism-based format,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,,,CHEMBL3751664,ACS Med Chem Lett,2015.0,,CHEMBL126,LINEZOLID,CHEMBL126,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,2744614,=,1,1,=,,MIC,ug.mL-1,,8.0,CHEMBL614431,Neisseria meningitidis,Neisseria meningitidis,487.0,,,MIC,ug ml-1,UO_0000274,,8.0
83007,83007,,,16437527,[],CHEMBL3756180,Antibacterial activity against clinical isolate Neisseria meningitidis 184 by microbroth dilution method,F,,,BAO_0002146,BAO_0000218,organism-based format,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,,,CHEMBL3751664,ACS Med Chem Lett,2015.0,,CHEMBL126,LINEZOLID,CHEMBL126,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,2744614,=,1,1,=,,MIC,ug.mL-1,,8.0,CHEMBL614431,Neisseria meningitidis,Neisseria meningitidis,487.0,,,MIC,ug ml-1,UO_0000274,,8.0
83008,83008,,,16443498,[],CHEMBL3757312,Antimicrobial activity against methicillin-susceptible Staphylococcus aureus ATCC 29213 after 18 to 20 hrs by microdilution method,F,,,BAO_0002146,BAO_0000218,organism-based format,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,,,CHEMBL3751726,Bioorg Med Chem Lett,2016.0,,CHEMBL126,LINEZOLID,CHEMBL126,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,2743758,=,1,1,=,,MIC,ug.mL-1,,2.0,CHEMBL352,Staphylococcus aureus,Staphylococcus aureus,1280.0,,,MIC,ug ml-1,UO_0000274,,2.0
83009,83009,,,16443510,[],CHEMBL3757314,Antimicrobial activity against vancomycin-susceptible Enterococcus faecalis MMX 101 after 18 to 20 hrs by microdilution method,F,,,BAO_0002146,BAO_0000218,organism-based format,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,,,CHEMBL3751726,Bioorg Med Chem Lett,2016.0,,CHEMBL126,LINEZOLID,CHEMBL126,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,2743758,=,1,1,=,,MIC,ug.mL-1,,2.0,CHEMBL362,Enterococcus faecalis,Enterococcus faecalis,1351.0,,,MIC,ug ml-1,UO_0000274,,2.0
83010,83010,,,16443521,[],CHEMBL3757313,Antimicrobial activity against methicillin-resistant Staphylococcus aureus MMX 2002 after 18 to 20 hrs by microdilution method,F,,,BAO_0002146,BAO_0000218,organism-based format,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,,,CHEMBL3751726,Bioorg Med Chem Lett,2016.0,,CHEMBL126,LINEZOLID,CHEMBL126,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,2743758,=,1,1,=,,MIC,ug.mL-1,,1.0,CHEMBL352,Staphylococcus aureus,Staphylococcus aureus,1280.0,,,MIC,ug ml-1,UO_0000274,,1.0
